Symbol,Name,Price,change,change,low,high,previous close
WMT,Walmart Inc,139.65,0.24,0.17,138.32,139.84,139.41
WBA,Walgreens Boots Alliance Inc,35.43,0.74,2.13,34.4,35.6,34.69
VZ,Verizon Communications Inc,36.35,0.38,1.06,35.8,36.43,35.97
V,Visa Inc,195.08,4.37,2.29,190.72,195.18,190.71
UNH,UnitedHealth Group Inc,537.91,-3.69,-0.68,533.9,543.92,541.6
TRV,Travelers Companies Inc,176.35,-3.44,-1.91,175.72,178.64,179.79
PG,Procter & Gamble Co,130.78,1.41,1.09,128.47,131.07,129.37
NKE,Nike Inc,91.74,3.73,4.24,87.89,91.93,88.01
MSFT,Microsoft Corp,249.73,2.48,1,245.83,250.11,247.25
MRK,Merck & Co Inc,97.99,0.62,0.64,96.35,98.29,97.37
MMM,3M Co,117.99,-0.39,-0.33,113.15,118.6,118.38
MCD,McDonald's Corp,256.65,1.33,0.52,254.4,257.28,255.32
KO,Coca-Cola Co,58.83,1.25,2.18,57.75,59.06,57.57
JPM,JPMorgan Chase & Co,122.9,0.52,0.42,120.89,123.27,122.38
JNJ,Johnson & Johnson,170.68,-0.3,-0.18,168.52,171.11,170.98
INTC,Intel Corp,27.34,0.17,0.61,27,27.56,27.18
IBM,International Business Machines Corp,132.95,0.26,0.2,131.3,133.22,132.69
HON,Honeywell International Inc,188.82,1.92,1.03,186.2,189.3,186.9
HD,Home Depot Inc,289.67,6.41,2.26,285.51,292.13,283.26
GS,Goldman Sachs Group Inc,331.61,2.91,0.89,325.92,332.21,328.7
DOW,Dow Inc,47.84,0.8,1.7,46.53,47.86,47.04
DIS,Walt Disney Co,104.11,2.4,2.35,102.03,104.22,101.72
CVX,Chevron Corp,174.23,1.1,0.64,172.17,174.97,173.13
CSCO,Cisco Systems Inc,44.2,0.66,1.5,43.2,44.29,43.54
CRM,Salesforce Inc,164.95,4.3,2.68,161.68,165.65,160.65
CAT,Caterpillar Inc,194.04,2.75,1.43,188.92,194.17,191.3
BA,Boeing Co,145.97,3.93,2.76,141.88,146.57,142.05
AXP,American Express Co,146.39,4.76,3.36,141.6,147.44,141.63
AMGN,Amgen Inc,260.32,-0.99,-0.38,257.19,261.79,261.32
AAPL,Apple Inc,151.96,2.51,1.68,149.36,152.05,149.45
